alpha	beta	gamma	count_for_fixed_alpha_representative	witness_rho
4+2+2+2	4+2+2+2	6+4	1200	1,3,4,6,2,8,0,9,5,7
4+2+2+2	4+2+2+2	8+2	2304	2,4,0,5,1,6,8,9,3,7
4+2+2+2	4+4+2	4+4+2	1248	1,3,4,5,2,0,8,9,7,6
4+2+2+2	4+4+2	6+2+2	2136	1,2,3,0,6,8,4,9,7,5
4+2+2+2	4+4+2	10	10080	1,2,4,6,0,8,3,9,7,5
4+2+2+2	6+2+2	2+2+2+2+2	24	1,4,3,5,2,0,8,9,6,7
4+2+2+2	6+2+2	4+4+2	2136	1,3,4,6,2,0,8,9,5,7
4+2+2+2	6+2+2	6+2+2	3072	1,2,4,5,3,0,8,9,6,7
4+2+2+2	6+2+2	10	13920	1,2,4,6,3,8,0,9,5,7
4+2+2+2	6+4	4+2+2+2	1200	1,2,3,0,6,8,5,9,7,4
4+2+2+2	6+4	6+4	9984	1,2,4,5,3,0,8,9,7,6
4+2+2+2	6+4	8+2	16896	1,2,3,4,6,8,0,9,7,5
4+2+2+2	8+2	4+2+2+2	2304	1,4,3,5,2,6,8,9,0,7
4+2+2+2	8+2	6+4	16896	1,2,4,6,3,8,5,9,0,7
4+2+2+2	8+2	8+2	26880	1,2,3,4,6,8,5,9,0,7
4+2+2+2	10	2+2+2+2+2	192	1,4,3,6,8,0,9,2,7,5
4+2+2+2	10	4+4+2	10080	1,2,3,4,6,8,5,9,7,0
4+2+2+2	10	6+2+2	13920	1,2,3,4,6,8,9,0,7,5
4+2+2+2	10	10	62208	1,2,4,5,3,6,8,9,7,0
4+4+2	2+2+2+2+2	6+4	40	2,3,0,1,6,8,4,9,5,7
4+4+2	2+2+2+2+2	8+2	128	2,4,0,5,1,3,8,9,6,7
4+4+2	4+2+2+2	4+4+2	416	1,3,4,5,2,0,8,9,6,7
4+4+2	4+2+2+2	6+2+2	712	1,2,3,0,6,8,4,9,5,7
4+4+2	4+2+2+2	10	3360	1,2,4,6,0,8,3,9,5,7
4+4+2	4+4+2	4+2+2+2	416	1,2,3,0,5,7,8,9,6,4
4+4+2	4+4+2	6+4	4032	1,2,4,6,0,8,7,9,5,3
4+4+2	4+4+2	8+2	6400	1,2,4,5,0,7,8,9,6,3
4+4+2	6+2+2	4+2+2+2	712	1,3,4,7,2,0,8,9,6,5
4+4+2	6+2+2	6+4	5408	1,2,4,6,5,8,3,9,0,7
4+4+2	6+2+2	8+2	8640	1,2,3,4,6,8,0,9,5,7
4+4+2	6+4	2+2+2+2+2	40	1,2,3,0,5,8,7,9,6,4
4+4+2	6+4	4+4+2	4032	1,2,3,4,8,9,7,5,0,6
4+4+2	6+4	6+2+2	5408	1,2,3,0,5,6,8,9,7,4
4+4+2	6+4	10	26880	1,2,4,5,0,6,8,9,7,3
4+4+2	8+2	2+2+2+2+2	128	1,4,3,5,8,0,2,9,6,7
4+4+2	8+2	4+4+2	6400	1,2,3,4,6,8,7,9,5,0
4+4+2	8+2	6+2+2	8640	1,2,3,4,5,7,8,9,6,0
4+4+2	8+2	10	40320	1,2,4,5,3,6,8,9,0,7
4+4+2	10	4+2+2+2	3360	1,2,3,4,5,8,7,9,6,0
4+4+2	10	6+4	26880	1,2,4,5,3,6,8,9,7,0
4+4+2	10	8+2	40320	1,2,3,4,5,6,8,9,7,0
6+2+2	2+2+2+2+2	4+2+2+2	6	2,4,0,5,1,3,8,9,6,7
6+2+2	2+2+2+2+2	6+4	72	2,4,0,6,1,8,3,9,5,7
6+2+2	2+2+2+2+2	8+2	120	2,6,0,5,8,3,1,9,4,7
6+2+2	4+2+2+2	2+2+2+2+2	6	1,3,5,4,0,2,8,9,6,7
6+2+2	4+2+2+2	4+4+2	534	1,3,5,6,8,2,0,9,4,7
6+2+2	4+2+2+2	6+2+2	768	1,2,4,5,0,3,8,9,6,7
6+2+2	4+2+2+2	10	3480	1,2,4,6,0,8,3,9,5,7
6+2+2	4+4+2	4+2+2+2	534	1,3,5,4,0,2,8,9,7,6
6+2+2	4+4+2	6+4	4056	1,2,4,5,0,3,8,9,7,6
6+2+2	4+4+2	8+2	6480	1,2,3,0,6,8,4,9,7,5
6+2+2	6+2+2	4+2+2+2	768	1,2,4,0,5,3,8,9,6,7
6+2+2	6+2+2	6+4	5616	1,2,4,6,5,8,3,9,0,7
6+2+2	6+2+2	8+2	9024	1,2,4,0,6,8,3,9,5,7
6+2+2	6+4	2+2+2+2+2	72	1,3,5,6,0,8,9,2,7,4
6+2+2	6+4	4+4+2	4056	1,2,3,0,6,8,9,5,4,7
