index	line_number	group_isotopic	square
206903	206903	false	0123456716370254236154703012764547562013524067316475310275041326
224860	224860	false	0123456716543270236017543206714545170632547160236745230170325416
224864	224864	false	0123456716543270251706343471602542601753530671426745230170325416
225881	225881	false	0123456716570324206574313706514245706213543126706342170572143056
233746	233746	false	0123456716742053245607313715624042601375503276146547310273015426
239703	239703	false	0123456717043652207563413561270446521073534701266430721572165430
239704	239704	false	0123456717043652207654313652017445617203543017266347201572156340
241191	241191	false	0123456717046352207536413652170445612073534701266430721572165430
242571	242571	false	0123456717053642207463513561207443501726564271036437021572165430
243029	243029	false	0123456717056342207654313457201643627105563102746540172372143650
245578	245578	false	0123456717065432207536413462017546512703534072166537102472146350
248871	248871	false	0123456717345206246510733506742146102735524763106072315473510642
251254	251254	false	0123456717352406231760543501764242601735547601236042537176543210
252375	252375	false	0123456717356402207613453541702646570213531426706402573172603154
253056	253056	false	0123456717360254245761303260547146753012501473266302174575412603
256405	256405	false	0123456717405623267401353057624142053716541673026532107473612450
258609	258609	false	0123456717425306250617433410762540673152527164306354027176352014
259257	259257	false	0123456717426035247153063564712043071652521607436035247176503214
260988	260988	false	0123456717453206246170533517064243061725527061346032547176542310
261034	261034	false	0123456717453206256170433416075242701635530761246032547176542310
267980	267980	false	0123456717523406251607433271605443071625546071326034527176452310
270299	270299	false	0123456717542306251607433461705242701635530761246032547176453210
270853	270853	false	0123456717543206247160533567014242107635530617246032547176452310
275769	275769	false	0123456717605243204637153512760446351072527401366407235173516420
281470	281470	false	0123456717650234261450733542760140316752527031466307241574561320
